locus_tag,gene,mRNA_level
BSU16390,flhA,3.44
BSU16400,flhF,3.27
BSU16410,ylxH,3.09
BSU16420,cheB,3.16
BSU16430,cheA,4.33
BSU16440,cheW,5.25
BSU16450,cheC,4.56
BSU16460,cheD,4.39
BSU16470,sigD,4.69
BSU16480,ylxL,5.19
BSU16490,rpsB,131.22
BSU16500,tsf,75.6
BSU16510,pyrH,15.75
BSU16520,frr,19.53
BSU16530,uppS,3.07
BSU16540,cdsA,3.78
BSU16550,dxr,6.13
BSU16560,rseP,10.26
BSU16570,proS,15.82
BSU16580,polC,2.29
BSU16590,ylxS,5.43
BSU16600,nusA,8.42
BSU16610,ylxR,11.29
BSU16620,ylxQ,11.06
BSU16630,infB,17.58
BSU16640,ylxP,34.88
BSU16650,rbfA,25.95
BSU16660,truB,2.05
BSU16670,ribC,4.58
BSU16680,rpsO,558.32
BSU16690,pnpA,22.9
BSU16700,ylxY,1.72
BSU16710,mlpA,2.21
BSU16750,asd,11.76
BSU16760,dapG,7.42
BSU16770,dapA,18.56
BSU16780,rnjB,11.76
BSU16800,spoIIIE,1.04
BSU16810,ymfC,2.31
BSU16845,ymfF,5.68
BSU16860,ymfH,11.96
BSU16870,fabG,2.29
BSU16880,ymfJ,3.5
BSU16910,ymfM,4.92
BSU16920,pgsA,3.06
BSU16930,cinA,5.01
BSU16940,recA,15.12
BSU16950,pbpX,2.88
BSU16960,ymdA,33.33
BSU16970,ymdB,1.9
BSU16980,spoVS,9.04
BSU16990,tdh,1.64
BSU17000,kbl,1.79
BSU17010,ymcB,6.18
BSU17020,ymcA,14.79
BSU17040,mutS,0.87
BSU17050,mutL,1.97
BSU17230,pksS,1.43
BSU17280,ymaD,3.98
BSU17340,hfq,15.69
BSU17360,ymzA,1.45
BSU17370,nrdI,1.09
BSU17380,nrdE,2.98
BSU17390,nrdF,7.39
BSU17400,ymaB,2.05
BSU17430,ynbA,0.61
BSU17440,ynbB,1.18
BSU17450,glnR,8.81
BSU17460,glnA,35.75
BSU17500,ynaB,1.87
BSU17510,ynaC,1.34
BSU17590,xylR,1.08
BSU17600,xylA,8.28
BSU17610,xylB,4.22
BSU17670,cotU,2.01
BSU17690,yncM,2.58
BSU17700,cotC,4.02
BSU17710,tatAC,1.12
BSU17730,yndB,5.05
BSU17840,yndN,4.16
BSU17850,lexA,5.02
BSU17880,ynzC,1.23
BSU17890,tkt,46.19
BSU17910,yneF,32.19
BSU17950,yneJ,5.79
BSU17960,yneK,1.25
BSU18000,citB,6.8
BSU18010,yneN,1.26
BSU18060,yneR,5.34
BSU18070,yneS,2.49
BSU18080,yneT,3.06
BSU18090,parE,1.87
BSU18100,parC,5.83
BSU18110,ynfC,7.48
BSU18120,alsT,3.09
BSU18190,yngC,1.49
BSU18350,dacC,1.04
BSU18370,yoeA,1.38
BSU18380,iseA,59.07
BSU18500,fabG,31.7
BSU18510,yoxC,0.84
BSU18580,yoaF,6.36
BSU18590,yoaG,5.27
BSU18630,exlX,1.43
BSU18660,yoaM,1.37
BSU18669,yozS,1.5
BSU18800,penP,1.23
BSU18840,xynA,15.35
BSU18849,yozV,2.25
BSU18910,rapK,3.82
BSU18920,phrK,22.38
BSU18970,yobI,1.2
BSU18980,yobJ,8.16
BSU19130,yocA,4.27
BSU19140,yozB,6.55
BSU19210,yocH,17.14
BSU19230,yocJ,12.96
BSU19240,yocK,1.71
BSU19250,yocL,0.72
BSU19259,yoyB,0.68
BSU19260,yocM,0.63
BSU19270,yozN,0.82
BSU19280,yocN,0.74
BSU19290,yozO,9.87
BSU19300,yozC,5.35
BSU19310,dhaS,1.35
BSU19340,yocR,0.6
BSU19360,odhB,83.15
BSU19370,sucA,63.83
BSU19380,yojO,2.84
BSU19390,yojN,1.72
BSU19460,yojG,5.43
BSU19470,yojF,4.72
BSU19479,yoyC,3.62
BSU19480,yojE,1.77
BSU19540,yodB,1
BSU19550,yodC,10.27
BSU19590,ctpA,2.36
BSU19610,yodI,1.22
BSU19620,yodJ,6.16
BSU19630,deoD,17.69
BSU19650,yodM,0.31
BSU19770,cgeC,1.74
BSU19780,cgeA,4.55
BSU19790,cgeB,3
BSU19840,yotL,0.14
BSU20190,yosA,7.81
BSU20420,yorD,10.57
BSU20440,yorB,2.24
BSU20760,yopU,1.08
BSU20770,yopT,1.29
BSU20780,yopS,4.61
BSU20790,yopR,2.8
BSU20800,yopQ,1.56
BSU20820,yopO,0.84
BSU20850,yopL,20.69
BSU20860,yopK,1.69
BSU20929,yoyI,2.26
BSU20930,yopD,1.77
BSU20940,yopC,1.07
BSU20960,yopA,1.23
BSU20990,yonU,6.91
BSU20999,yoyJ,4.96
BSU21000,yonT,1.25
BSU21020,yonR,0.23
BSU21050,yonN,1.11
BSU21080,yonI,2.02
BSU21140,yonC,1.44
BSU21150,yonB,1.29
BSU21160,yonA,1.48
BSU21170,yomZ,1.06
BSU21180,yomY,1.33
BSU21220,yomU,1.12
BSU21229,youA,1.4
BSU21230,yomT,1.64
BSU21320,yomL,1.61
BSU21329,youB,1.81
BSU21340,yomJ,1.14
BSU21440,bdbB,6.18
BSU21450,yolJ,4.17
BSU21460,bdbA,3.22
BSU21470,sunT,2.39
BSU21480,sunA,63.24
BSU21490,sunI,9.21
BSU21530,yolB,9.45
BSU21540,yolA,12.31
BSU21550,yokL,1.93
BSU21560,yokK,1.36
BSU21590,yokH,1.57
BSU21600,yokG,1.24
BSU21610,yokF,1.8
BSU21620,yokE,3.43
BSU21680,yppQ,3.36
BSU21690,msrA,2.47
BSU21700,ypoP,4.09
BSU21720,ypmT,2.47
BSU21730,ypmS,2.33
BSU21740,ypmR,1.34
BSU21760,ypmP,5.96
BSU21770,ilvA,1.05
BSU21780,yplP,1.07
BSU21790,yplQ,1.65
BSU21800,ypkP,4.53
BSU21810,dfrA,2.77
BSU21820,thyA,1.64
BSU21830,ypjQ,6.71
BSU21840,ypjP,2.77
BSU21850,ypiP,1.06
BSU21860,yphP,8.39
BSU21880,ypgR,3.32
BSU21920,ugtP,3.7
BSU21930,cspD,494.68
BSU21940,degR,6
BSU22000,sspL,1.19
BSU22010,exoA,1.31
BSU22019,ypzF,2.4
BSU22020,ypbS,2.45
BSU22060,pbuX,1.12
BSU22080,ypwA,10.12
BSU22130,kduI,1.03
BSU22150,ypvA,1.17
BSU22160,yptA,0.84
BSU22169,ypzG,1.67
BSU22170,ypsC,1.78
BSU22180,ypsB,30.03
BSU22190,ypsA,1.76
BSU22200,cotD,6.02
BSU22210,yprB,1.38
BSU22220,yprA,0.83
BSU22230,ypqE,4.81
BSU22260,yppF,9.84
BSU22270,yppE,1.66
BSU22300,yppC,0.92
BSU22310,recU,2.19
BSU22320,ponA,6.31
BSU22330,ypoC,4.6
BSU22340,nth,4.3
BSU22350,dnaD,3.32
BSU22360,asnC,27.53
BSU22370,aspB,17.5
BSU22380,ypmB,9.78
BSU22390,ypmA,4.45
BSU22400,dinG,1.97
BSU22410,panD,13.01
BSU22420,panC,12.19
BSU22430,panB,9.78
BSU22440,birA,5.12
BSU22450,cca,6.63
BSU22460,ypjH,6.63
BSU22470,ypjG,5.9
BSU22480,mgsA,5.05
BSU22490,dapB,2.53
BSU22500,ypjD,1.22
BSU22510,ypjC,1.17
BSU22540,qcrC,3.03
BSU22550,qcrB,2.57
BSU22560,qcrA,2.52
BSU22570,ypiF,1.05
BSU22580,ypiB,16.45
BSU22590,ypiA,1.58
BSU22600,aroE,5.71
BSU22610,tyrA,2.82
BSU22620,hisC,2.34
BSU22630,trpA,0.76
BSU22640,trpB,0.12
BSU22650,trpF,0.1
BSU22660,trpC,0.13
BSU22670,trpD,0.11
BSU22680,trpE,0.11
BSU22690,aroH,7.06
BSU22700,aroB,4.45
BSU22710,aroF,2.74
BSU22730,ndk,78.85
BSU22740,hepT,8.18
BSU22750,ubiE,5.98
BSU22760,hepS,4.28
BSU22770,mtrB,9.42
BSU22780,folE,6.98
BSU22790,hbs,698.93
BSU22810,yphF,0.7
BSU22820,yphE,0.74
BSU22830,gpsA,8.99
BSU22840,engA,4.91
BSU22870,fni,10.4
BSU22880,rpsA,43.3
BSU22890,cmk,2.73
BSU22900,ypfB,1.43
BSU22940,prsW,1.93
BSU22950,ypdA,4.33
BSU22960,gudB,38.82
BSU22970,ypbH,4.56
BSU22980,ypbG,1.14
BSU23000,ypbE,1.62
BSU23010,ypbD,2.01
BSU23020,recQ,1.1
BSU23040,fer,34.53
BSU23050,fmnP,1.21
BSU23060,ypzE,1.01
BSU23070,serA,4.8
BSU23090,rsiX,4.23
BSU23100,sigX,3.44
BSU23110,resE,8.39
BSU23120,resD,9.17
BSU23130,resC,6.54
BSU23140,resB,6.19
BSU23150,resA,7.21
BSU23160,rluB,4.04
BSU23200,ypuI,1.36
BSU23210,spcB,0.97
BSU23220,scpA,0.63
BSU23240,ypzK,5.58
BSU23250,ribH,3.42
BSU23260,ribA,1.99
BSU23270,ribE,1.27
BSU23280,ribD,1.39
BSU23300,ypuD,1.14
BSU23310,sipS,3
BSU23350,ypzD,1.05
BSU23360,ppiB,36.51
BSU23370,ypuA,21.13
BSU23380,lysA,1.89
BSU23490,pupG,33.28
BSU23500,drm,17.57
BSU23510,xerD,1.57
BSU23520,fur,4.75
BSU23550,mleA,37.45
BSU23560,mleN,21.85
BSU23570,aspA,22.12
BSU23580,ansA,6.6
BSU23590,ansR,2.32
BSU23600,yqxK,2.79
BSU23610,nudF,2.93
BSU23620,yqkF,1.95
BSU23650,yqkC,5.57
BSU23660,yqkB,2.84
BSU23720,yqzH,0.54
BSU23740,yqjU,4.19
BSU23750,yqjT,4.35
BSU23760,coaA,1.93
BSU23820,yqjM,4.92
BSU23830,yqjL,4.97
BSU23850,zwf,11.35
BSU23860,yqjI,34.25
BSU23880,yqzJ,4.6
BSU23890,yqjG,5.75
BSU23900,yqjF,0.62
BSU23910,yqjE,5.42
BSU23920,yqjD,2.25
BSU23950,yqjA,0.65
BSU23990,yqiW,12.13
BSU24000,bmrU,2.34
BSU24010,bmr,2.49
BSU24030,bkdB,10.81
BSU24040,bkdAB,8.55
BSU24050,bkdAA,7.83
BSU24060,lpdV,6.34
BSU24070,buk,5.58
BSU24080,bcd,5.44
BSU24090,ptb,3.85
BSU24100,bkdR,1.45
BSU24110,yqzF,1.01
BSU24210,yqiG,6.52
BSU24220,spo0A,4.96
BSU24240,recN,2.54
BSU24250,ahrC,1.84
BSU24260,yqxC,6.96
BSU24270,dxs,4.14
BSU24280,ispA,1.31
BSU24290,xseB,1.04
BSU24300,xseA,0.74
BSU24310,folD,11.51
BSU24320,nusB,9.31
BSU24330,yqhY,33.52
BSU24340,accC,14.2
BSU24350,accB,4.58
BSU24450,efp,29.96
BSU24460,yqhT,19.88
BSU24470,yqhS,11.1
BSU24490,yqhQ,2.96
BSU24500,yqhP,6.74
BSU24520,mntR,5.5
BSU24530,yqhM,2.51
BSU24540,yqhL,2.56
BSU24550,gcvPB,1.8
BSU24560,gcvPA,1.57
BSU24570,gcvT,1.28
BSU24600,sinI,1.36
BSU24610,sinR,8.18
BSU24620,tasA,0.79
BSU24760,rsbRD,2.45
BSU24770,mgsR,14.64
BSU24780,yqgY,1.47
BSU24790,yqgX,14.82
BSU24800,yqgW,3.63
BSU24810,yqgV,2.89
BSU24820,yqgU,2.02
BSU24840,yqgS,2.68
BSU24850,glcK,1.52
BSU24860,yqgQ,1.28
BSU24880,yqgO,3.18
BSU24890,yqgN,3.83
BSU24900,rpmG,65.51
BSU24930,yqzD,12.35
BSU24940,yqzC,16.35
BSU24990,pstS,3.72
BSU25000,pbpA,5.45
BSU25020,sodA,191.18
BSU25030,yqgC,3.04
BSU25040,yqgB,4.39
BSU25050,yqgA,145.82
BSU25070,ispG,4.16
BSU25080,yqfX,0.54
BSU25090,yqfW,1.89
BSU25100,zur,6.63
BSU25110,yqfU,1.31
BSU25130,yqfS,7.35
BSU25140,cshB,4.37
BSU25160,ispH,1.07
BSU25170,yqfO,5.12
BSU25180,trmK,2.76
BSU25190,cccA,0.55
BSU25200,sigA,18.66
BSU25210,dnaG,8.65
BSU25220,antE,13.98
BSU25230,yqxD,5.56
BSU25240,yqfL,5.21
BSU25250,ccpN,3.7
BSU25260,glyS,9.17
BSU25270,glyQ,3.96
BSU25280,recO,6.34
BSU25289,yqzL,10.81
BSU25290,era,5.39
BSU25300,cdd,4.62
BSU25310,dgkA,3.93
BSU25320,yqfG,5.15
BSU25330,yqfF,2.54
BSU25340,phoH,9.08
BSU25370,yqfB,14.95
BSU25380,yqfA,16.25
BSU25390,yqeZ,12.91
BSU25400,yqeY,413.95
BSU25410,rpsU,659.19
BSU25430,rimO,9.71
BSU25440,yqeU,4.54
BSU25450,prmA,6.12
BSU25460,dnaJ,8.82
BSU25470,dnaK,63.43
BSU25480,grpE,46.63
BSU25490,hrcA,14.87
BSU25500,hemN,1.85
BSU25510,lepA,3.75
BSU25550,rpsT,575.67
BSU25560,holA,1.57
BSU25569,yqzM,2.16
BSU25580,comEB,0.67
BSU25610,yqeM,9.76
BSU25620,yqeL,10.89
BSU25630,yqeK,6.02
BSU25640,nadD,5.63
BSU25650,yqeI,6.8
BSU25660,aroE,5.16
BSU25670,yqeH,2.44
BSU25680,yqeG,0.77
BSU25690,sda,1.04
BSU25700,yqeF,0.72
BSU25720,yqeD,0.31
BSU25740,yqeB,1.09
BSU25840,phrE,8.06
BSU25870,yqcF,2.02
BSU26050,yqdB,3.33
BSU26230,yqaP,5.69
BSU26610,yrkA,2.53
BSU26640,yrdP,3.09
BSU26650,czcD,1.86
BSU26680,yrdK,1.31
BSU26760,yrdC,1.23
BSU26820,yrpD,11.96
BSU26890,csn,1.02
BSU26900,yraL,2.38
BSU27020,yraA,11.22
BSU27100,yrhP,1
BSU27150,yrhK,1.02
BSU27160,cypB,1.4
BSU27180,yrhH,1.12
BSU27190,yrzI,4.12
BSU27200,yrhG,7.27
BSU27210,yrhF,2.73
BSU27220,yrhE,3.85
BSU27230,yrhD,7.95
BSU27270,mtn,4.52
BSU27280,yrrT,1.28
BSU27290,yrzA,1.64
BSU27300,yrrS,1.45
BSU27320,greA,17.21
BSU27330,udk,14.74
BSU27340,yrrO,7.33
BSU27350,yrrN,3.31
BSU27360,yrrM,2.39
BSU27370,yrrL,2.99
BSU27380,yrzB,50.05
BSU27390,yrrK,22.41
BSU27400,yrzL,12.02
BSU27410,alaS,4.54
BSU27468,yrzQ,0.43
BSU27469,yrzR,0.61
BSU27470,yrrD,0.35
BSU27480,yrrC,2.96
BSU27490,yrrB,1.99
BSU27500,mnmA,7.47
BSU27510,iscS,3.78
BSU27520,cymR,1.04
BSU27540,yrvM,2.87
BSU27550,aspS,8.32
BSU27560,hisS,2.52
BSU27570,yrzK,0.34
BSU27580,yrvJ,2.08
BSU27590,yrvI,6.88
BSU27600,relA,3.68
BSU27610,apt,11.42
BSU27620,recJ,3.61
BSU27630,yrvD,4.07
BSU27640,yrvC,2.68
BSU27650,secDF,19.13
BSU27660,comN,6.8
BSU27700,yajC,61.89
BSU27710,tgt,9.32
BSU27720,queA,4.41
BSU27729,yrzS,2.87
BSU27730,ruvB,1.55
BSU27740,ruvA,0.99
BSU27750,bofC,0.75
BSU27760,csbX,1.27
BSU27770,yrbE,1.71
BSU27785,yrzF,1.45
BSU27820,yrbC,0.7
BSU27840,safA,0.18
BSU27890,nadR,1.09
BSU27900,pheA,2.92
BSU27910,pheB,3.5
BSU27920,obgE,3.42
BSU27930,spo0B,2.09
BSU27940,rpmA,243.03
BSU27950,ysxB,248.22
BSU27960,rplU,251.17
BSU27990,minD,16.52
BSU28000,minC,13.6
BSU28010,mreD,11.03
BSU28020,mreC,11.52
BSU28030,mreB,6.44
BSU28040,radC,2.21
BSU28050,maf,2.33
BSU28080,folC,5.16
BSU28090,valS,5.04
BSU28120,hemL,11.2
BSU28130,hemB,6.37
BSU28140,hemD,5.22
BSU28150,hemC,5.87
BSU28160,hemX,8.01
BSU28170,hemA,16.79
BSU28190,engB,10.27
BSU28200,lonA,4.98
BSU28220,clpX,27.25
BSU28230,tig,47.01
BSU28280,leuA,1.11
BSU28290,ilvC,1.41
BSU28300,ilvH,1.17
BSU28310,ilvB,1.01
BSU28350,ysnB,5.26
BSU28360,ysnA,3.85
BSU28370,rph,2.89
BSU28390,racE,3.54
BSU28400,ysmB,2.7
BSU28410,gerE,12.29
BSU28420,ysmA,2.65
BSU28430,sdhB,50.98
BSU28440,sdhA,27.95
BSU28450,sdhC,18.65
BSU28460,yslB,22.98
BSU28490,uvrC,1.04
BSU28500,trxA,43.91
BSU28520,etfA,3.41
BSU28530,etfB,3.34
BSU28540,ysiB,2.63
BSU28550,fadR,2.27
BSU28560,lcfA,0.98
BSU28570,yshE,4.19
BSU28580,mutSB,3.17
BSU28590,yshC,1.82
BSU28600,yshB,1.45
BSU28610,yshA,1.43
BSU28620,rnhC,0.91
BSU28630,pheT,6.62
BSU28640,pheS,1.81
BSU28650,ysgA,1.16
BSU28700,ysfE,3.85
BSU28710,cstA,1.51
BSU28820,ysdC,11.32
BSU28830,ysdB,10.07
BSU28840,ysdA,2.68
BSU28850,rplT,163.38
BSU28860,rpmI,141.73
BSU28870,infC,81.03
BSU28900,ysbB,63.18
BSU28910,ysbA,46.83
BSU28920,lytT,1.89
BSU28940,ysaA,4.72
BSU28950,thrS,9.93
BSU28960,ytxC,2.49
BSU28970,ytxB,2.57
BSU28980,dnaI,1.61
BSU29000,nrdR,1.59
BSU29010,speD,14.89
BSU29060,coaE,4.64
BSU29070,ytaF,4.07
BSU29080,mutM,4.07
BSU29090,polA,1.83
BSU29100,phoR,2.01
BSU29110,phoP,1.08
BSU29120,mdh,39.51
BSU29130,icd,33.11
BSU29140,citZ,9.76
BSU29150,ytwI,1.16
BSU29160,ytvI,1.68
BSU29170,fxsA,13.76
BSU29180,pyk,33.99
BSU29190,pfkA,11.59
BSU29200,accA,13
BSU29210,accD,12.16
BSU29220,ytsJ,11.64
BSU29230,dnaE,3.71
BSU29249,ytzJ,1.78
BSU29250,nrnA,3.91
BSU29260,ytpI,1.73
BSU29270,ytoI,1.05
BSU29410,ytkL,8.84
BSU29420,fabG,2.98
BSU29460,moaB,1.96
BSU29470,ackA,23.23
BSU29480,ytxK,15.96
BSU29490,tpx,83.52
BSU29520,yteJ,24.18
BSU29530,sppA,21.44
BSU29540,ppnKB,4.33
BSU29550,ytcJ,6.24
BSU29560,ytcI,2.68
BSU29570,sspA,9.86
BSU29580,ytbJ,2.25
BSU29590,iscS,0.85
BSU29600,braB,1.01
BSU29610,ezrA,4.99
BSU29620,hisJ,1.02
BSU29630,yttP,1.81
BSU29640,ytsP,4.1
BSU29650,ytrP,1.96
BSU29660,rpsD,157.3
BSU29670,tyrS,3.82
BSU29679,ytzK,5.05
BSU29680,acsA,1.27
BSU29720,ytxE,1.14
BSU29740,ccpA,3.49
BSU29750,aroA,7.75
BSU29760,ytxJ,23.81
BSU29770,ytxH,28.41
BSU29780,ytxG,24.72
BSU29790,murC,10.57
BSU29805,ytpS,2.83
BSU29820,ytpR,19.82
BSU29830,ytpQ,7.59
BSU29840,ytpP,4.44
BSU29850,ytoQ,3.46
BSU29860,ytoP,2.3
BSU29870,ytzB,4.26
BSU29880,malS,3.48
BSU29890,ytnP,2.81
BSU29900,trmB,3.17
BSU29910,ytzH,2.69
BSU29920,ytmP,2.14
BSU29940,ytlR,1.54
BSU29950,ytlQ,1.86
BSU29960,ytlP,1.18
BSU29970,ytkP,3.31
BSU29980,ytjP,3.75
BSU29990,pbuO,1.76
BSU30000,ythQ,8.62
BSU30010,ythP,12.51
BSU30020,ytzE,3.43
BSU30035,ytzG,1.37
BSU30050,ytgP,2.24
BSU30060,ytfP,1.51
BSU30070,opuD,2.64
BSU30310,ytwF,8.76
BSU30320,leuS,12.75
BSU30410,ytrF,1.73
BSU30420,ytrE,1.34
BSU30430,ytrD,0.96
BSU30440,ytrC,0.69
BSU30450,ytrB,0.42
BSU30470,ytzC,2.4
BSU30480,ytqA,0.91
BSU30490,ytqB,2.05
BSU30500,ytpB,5.73
BSU30510,ytpA,4.75
BSU30520,ytoA,4.41
BSU30530,ytnA,5.47
BSU30540,asnB,19.77
BSU30550,metK,8.43
BSU30560,pckA,1.05
BSU30570,ytmB,2.28
BSU30630,ytkD,2.03
BSU30650,dps,58.16
BSU30659,ytzI,4.24
BSU30660,ytkA,2.79
BSU30670,luxS,6.94
BSU30680,ytjA,3.84
BSU30690,ytiB,2.57
BSU30700,rpmE2,2.43
BSU30740,mntD,11.62
BSU30750,mntC,10.37
BSU30760,mntB,8.81
BSU30770,mntA,6.64
BSU30780,menC,3.52
BSU30790,menE,2.86
BSU30800,menB,29.68
BSU30810,ytxM,8.12
BSU30820,menD,5.97
BSU30830,menF,3.71
BSU30930,ytaB,1.54
BSU30990,thiT,1.34
BSU31000,yuaI,5.75
BSU31010,yuaG,6.33
BSU31020,yuaF,14.5
BSU31030,yuaE,7.74
BSU31040,yuaD,1.2
BSU31080,yuaB,3
BSU31110,yubF,16.82
BSU31150,yubB,4.56
BSU31160,yubA,2.27
BSU31170,yulF,2.31
BSU31210,yulB,0.76
BSU31240,mcpA,3.32
BSU31260,mcpB,1.6
BSU31279,yuzH,2.03
BSU31280,yugU,2
BSU31310,yugP,3.19
BSU31330,yugN,1.62
BSU31340,yugM,1.65
BSU31350,pgi,50.02
BSU31360,yugK,3.05
BSU31370,yugJ,16.61
BSU31380,yuzA,1.18
BSU31390,yugI,49.32
BSU31400,alaT,5.52
BSU31410,yugG,4.34
BSU31430,yugE,1.56
BSU31440,patB,6.13
BSU31460,kapB,5.11
BSU31490,pbpD,2.25
BSU31500,yuxK,5.82
BSU31510,yufK,3.67
BSU31530,yufM,2.6
BSU31580,maeN,4.92
BSU31600,mrpA,3.11
BSU31610,mrpB,4.06
BSU31620,mrpC,3.66
BSU31630,mrpD,3.23
BSU31640,mrpE,5.3
BSU31650,mrpF,5.96
BSU31660,mrpG,4.99
BSU31670,yuxO,4.62
BSU31680,comA,3.79
BSU31690,comP,3.29
BSU31700,comX,5.12
BSU31710,comQ,2.28
BSU31730,yuzC,5.93
BSU31740,yuxH,4.58
BSU31750,yueK,8.01
BSU31760,pncA,6.5
BSU31770,yueI,3.53
BSU31780,yueH,3.64
BSU31790,yueG,4.64
BSU31800,yueF,2.43
BSU31820,yuzF,0.85
BSU31830,yueE,1.08
BSU31840,yueD,8.52
BSU31850,yueC,3.63
BSU31860,yueB,3.79
BSU31875,yukB,2.51
BSU31890,yukC,1.58
BSU31900,yukD,2.13
BSU31910,yukE,124.11
BSU31930,ald,25.23
BSU31945,yukJ,7.34
BSU31959,ybdZ,25.51
BSU31960,dhbF,19.6
BSU31970,dhbB,29.32
BSU31980,dhbE,25.72
BSU31990,dhbC,24.89
BSU32000,dhbA,18.89
BSU32010,besA,7.48
BSU32030,bioYB,0.77
BSU32050,yuiE,3.83
BSU32060,yuiD,1.95
BSU32080,yuiB,1.8
BSU32110,yumC,10.38
BSU32130,guaC,3.09
BSU32160,yutM,10.97
BSU32170,dapF,1.71
BSU32180,yutK,0.8
BSU32190,yuzB,4.23
BSU32200,yutJ,2.31
BSU32220,yutI,34.9
BSU32230,yuxL,1.32
BSU32240,thrB,3.39
BSU32250,thrC,3.53
BSU32260,hom,2.2
BSU32290,yutF,6.87
BSU32300,yutE,5.91
BSU32310,yutD,4.55
BSU32330,lipA,7.7
BSU32350,yunB,0.91
BSU32360,yunC,5.82
BSU32370,yunD,4.11
BSU32380,yunE,2.58
BSU32390,yunF,1.91
BSU32400,yunG,0.71
BSU32560,frlR,1.49
BSU32620,yurQ,4.05
BSU32630,yurR,1.63
BSU32640,sspG,4.11
BSU32650,yurS,4.13
BSU32660,yurT,2.94
BSU32669,yuzN,2.12
BSU32670,sufB,74.88
BSU32680,iscU,57.08
BSU32690,sufS,47.57
BSU32700,sufD,43.31
BSU32710,sufC,30.65
BSU32719,yuzK,2.02
BSU32730,metN,13.05
BSU32740,metP,5.9
BSU32750,metQ,3.42
BSU32770,yusE,0.75
BSU32780,yusF,1.55
BSU32790,yusG,47.21
BSU32800,yusH,68.99
BSU32810,yusI,14.27
BSU32870,yusO,1.01
BSU32880,yusP,1.62
BSU32930,yusU,2.49
BSU32940,yusV,6.77
BSU32990,mrgA,192.39
BSU33000,htrB,1.22
BSU33010,cssR,1.73
BSU33020,cssS,2.64
BSU33029,yuzO,1.91
BSU33030,yuxN,1.71
BSU33040,fumC,42.26
BSU33049,yvzF,5.51
BSU33080,liaR,1.07
BSU33090,liaS,1.06
BSU33100,liaF,0.78
BSU33110,liaG,0.79
BSU33120,liaH,1.11
BSU33130,liaI,1.16
BSU33150,yvqK,1.35
BSU33160,yvrA,1.07
BSU33170,yvrB,1.56
BSU33180,yvrC,2.87
BSU33190,yvrD,4.37
BSU33200,yvrE,4.61
BSU33210,yvrG,1.24
BSU33240,oxdC,1.02
BSU33260,yvrN,2.35
BSU33270,yvrO,1.27
BSU33290,fhuC,8
BSU33300,fhuG,3.68
BSU33310,fhuB,1.47
BSU33320,fhuD,11.76
BSU33350,yvsG,0.27
BSU33370,yvgK,4.32
BSU33380,yvgL,1.29
BSU33390,yvgM,1.33
BSU33400,yvgN,57.05
BSU33420,nhaK,2.76
BSU33430,yvgQ,1.35
BSU33460,yvgT,0.84
BSU33470,bdbC,11.87
BSU33480,bdbD,10.97
BSU33490,copB,11.02
BSU33500,copA,1.23
BSU33510,copZ,3.27
BSU33520,csoR,1.6
BSU33530,yvaA,16.47
BSU33540,yvaB,1.3
BSU33590,yvaG,1.06
BSU33600,smpB,3.36
BSU33610,rnr,5.34
BSU33620,yvaK,3.09
BSU33630,secG,32.86
BSU33660,rghRA,0.69
BSU33670,rghRB,0.55
BSU33680,yvaP,6.44
BSU33700,opuBD,0.59
BSU33710,opuBC,0.65
BSU33740,yvaV,0.77
BSU33780,sdpI,1.51
BSU33790,sdpR,1.16
BSU33800,opuCD,0.21
BSU33810,opuCC,0.17
BSU33820,opuCB,0.15
BSU33860,yvbH,2.47
BSU33870,yvbI,1.87
BSU33880,yvbJ,2.27
BSU33900,eno,86.5
BSU33910,pgm,76.81
BSU33920,tpiA,85.15
BSU33930,pgk,85.93
BSU33940,gapA,255.97
BSU33950,cggR,56.49
BSU33970,araR,1.44
BSU34020,yvbX,1.24
BSU34030,yvbY,25.65
BSU34040,yvfW,13.4
BSU34050,yvfV,6.33
BSU34110,rsbP,1.04
BSU34180,yvfI,1.52
BSU34190,yvfH,1.86
BSU34200,sigL,4.27
BSU34210,yvfG,11.48
BSU34430,racX,3.67
BSU34440,pbpE,3.29
BSU34480,yvdT,3.96
BSU34540,clpP,117.67
BSU34640,yvdD,4.96
BSU34650,yvdC,2.46
BSU34680,yvcT,7.86
BSU34690,yvcS,1.78
BSU34700,yvcR,1.68
BSU34710,yvcQ,1.13
BSU34730,yvcN,10.19
BSU34740,crh,13.27
BSU34750,whiA,8.65
BSU34760,yvcK,8.5
BSU34770,yvcJ,6.32
BSU34780,yvcI,3.62
BSU34790,trxB,6.65
BSU34800,cwlO,7.42
BSU34810,yvcD,2.05
BSU34820,bmrA,1.39
BSU34960,yvoF,9.82
BSU34970,hprP,9.32
BSU34980,yvoD,7.07
BSU34990,lgt,4.97
BSU35000,hprK,2.5
BSU35010,nagA,1.99
BSU35020,nagBA,3.15
BSU35030,yvoA,2.55
BSU35060,cypX,1.03
BSU35080,yvmB,0.6
BSU35090,yvmA,1.37
BSU35100,yvlD,25.96
BSU35110,yvlC,40.49
BSU35120,yvlB,25.07
BSU35130,yvlA,19.98
BSU35160,uvrA,7.4
BSU35170,uvrB,3.8
BSU35180,csbA,10.68
BSU35220,minJ,4.09
BSU35250,ftsX,7.83
